title,link,summary,keywords,date
"삼성전자, AI 기반 디지털 헬스케어 플랫폼 '삼성 헬스' 고도화",https://news.samsung.com/kr/,삼성전자가 인공지능 기술을 활용해 개인 맞춤형 건강관리 서비스를 제공하는 디지털 헬스케어 플랫폼을 강화한다고 발표했다.,"AI, 디지털헬스케어, 삼성전자, 건강관리, 플랫폼, 스마트헬스",2025-07-25
"정부, 원격의료 서비스 확대…의료 접근성 향상 기대",https://www.mohw.go.kr/,정부가 원격의료 서비스 범위를 확대하고 관련 규제를 완화해 의료 접근성을 높이겠다고 발표했다.,"원격의료, 디지털헬스케어, 정부정책, 의료접근성, 규제완화, 헬스케어",2025-07-25
"LG전자, 웨어러블 기기 통한 실시간 건강 모니터링 기술 개발",https://www.lge.co.kr/,"LG전자가 웨어러블 기기를 통해 심박수, 혈압, 혈당 등을 실시간으로 모니터링하는 기술을 개발했다고 밝혔다.","웨어러블, 건강관리, LG전자, 실시간모니터링, 디지털헬스케어, 헬스케어",2025-07-25
"네이버, 의료 빅데이터 활용한 맞춤형 건강관리 서비스 출시",https://www.navercorp.com/,네이버가 축적된 의료 빅데이터를 분석해 개인별 맞춤형 건강관리 솔루션을 제공하는 서비스를 출시했다.,"빅데이터, 건강관리, 네이버, 맞춤형서비스, 의료데이터, 디지털헬스케어",2025-07-25
"카카오헬스케어, IoT 기반 스마트 병원 솔루션 도입 확산",https://www.kakaocorp.com/,카카오헬스케어가 사물인터넷 기술을 활용한 스마트 병원 솔루션을 개발해 국내 주요 병원에 도입을 확산하고 있다.,"IoT, 스마트병원, 카카오헬스케어, 의료솔루션, 디지털헬스케어, 헬스케어",2025-07-25
"SK텔레콤, 5G 기반 원격 수술 로봇 시스템 상용화",https://www.sktelecom.com/,SK텔레콤이 5G 네트워크를 활용한 원격 수술 로봇 시스템을 상용화해 의료진이 원거리에서도 정밀한 수술을 할 수 있게 됐다.,"5G, 원격수술, SK텔레콤, 로봇시스템, 의료기술, 디지털헬스케어",2025-07-25
"현대차그룹, 블록체인 기술로 의료 데이터 보안 강화 시스템 개발",https://www.hyundai.com/,현대차그룹이 블록체인 기술을 도입해 의료 데이터의 보안성과 투명성을 높이는 시스템을 개발했다고 발표했다.,"블록체인, 의료데이터보안, 현대차그룹, 데이터보안, 의료기술, 헬스케어",2025-07-25
"메타버스 활용한 의료진 교육 프로그램, 국내 의대 도입 확산",https://www.moe.go.kr/,가상현실과 메타버스 기술을 활용한 의료진 교육 프로그램이 국내 의과대학에 도입되어 실습 교육의 효과를 높이고 있다.,"메타버스, VR, 의료교육, 의과대학, 의료기술, 디지털헬스케어",2025-07-25
"AI 진단 보조 시스템, 국내 병원 도입률 50% 돌파",https://www.kha.or.kr/,인공지능을 활용한 의료 진단 보조 시스템이 국내 병원의 50% 이상에 도입되어 진단 정확도와 효율성이 크게 향상됐다.,"AI, 의료AI, 진단시스템, 병원도입, 의료기술, 인공지능",2025-07-25
디지털 치료제 시장 급성장…국내 스타트업 투자 활발,https://www.k-startup.go.kr/,앱이나 게임 형태의 디지털 치료제 시장이 급성장하면서 국내 관련 스타트업에 대한 투자가 활발해지고 있다.,"디지털치료제, 스타트업, 투자, 앱치료, 헬스케어, 의료기술",2025-07-25
